comparison,p_value,active_features,active_group
RAB5C_vs_MYD88,1.62293496864383e-13,ADGRE5/AP1B1/ASAH1/ATP13A3/ATP6V0E1/ATP6V1F/CCT8/CHMP3/CHMP4B/CTSA/DPP7/GNS/GOLIM4/HGSNAT/IFI27L2/IGF2R/ITM2C/LAMP1/M6PR/MFSD1/MORF4L2/NAPRT/NCSTN/PHLDA2/PLEKHB2/RAP1B/RB1CC1/RIPK2/SLC2A6/SLC3A2/SNX6/STK17A/STK26/TFRC/TMEM165/TNFSF10/TRAF1/VAPA/VPS26A,2/7
ALG2_vs_MYD88,7.85972425070467e-06,AREG/CCL1/CD70/CKLF/HBEGF/IL1A/MANF/METRNL/OSGIN2/TYMP,""
MYD88_vs_IKBKG,0.00098988201902407,NORAD/TNS3/TPRA1/ZYX,13
TAB1_vs_IKBKG,0.70723692939425,"",""
IFNAR1_vs_IKBKG,0.998866125337948,ASS1/IFNAR1/PTPN1,6
TXNDC17_vs_IKBKG,0.0748894050862225,"",""
FLI1_vs_IKBKG,0.754280083886587,"",""
MAPK14_vs_IKBKG,9.70990447672679e-08,HDAC9,14
KIDINS220_vs_IKBKG,2.10806606352293e-07,ABHD17A/ACOX1/AKR1A1/AP2B1/ARF6/ATF5/ATRX/BSG/CAMK1/CD36/CEP350/COMT/CSNK1D/DAB2/DECR1/ERP29/FMNL3/GOLGB1/GPX4/HERC1/HEXA/HEXB/HGSNAT/HM13/HOOK3/IST1/ITGA6/KCTD20/LDHB/LPL/LRP12/MARK3/MBNL1/MFF/MPC2/NFKBIE/NUDT14/OPTN/OSBPL8/PFKP/PGD/PKM/PLIN2/RAB31/RFTN1/ROMO1/SCPEP1/SEC63/SFT2D1/SH3GLB1/SIL1/SKIL/SMS/STARD4/TNPO1/TPI1/TSPO/TXN/WDR1/YWHAE/ZC3H12A,2/5/10/11
MAP2K1_vs_IKBKG,3.02624049806534e-07,EIF5/GMFG/IQGAP1/NDFIP1/PSD3/RASGEF1B,18
YEATS4_vs_IKBKG,0.0467678756774588,"",""
ATXN7L3_vs_IKBKG,5.89729102569683e-07,AP3B1/CDC42EP3/CLIC1/FBXW5/FERMT3/FLNA/JMJD1C/MYL9/NDFIP1/PLEK/TLN1/TRIP10/VKORC1,9/18/21
AHR_vs_IKBKG,1.16721426154364e-07,ABHD17A/ACOX1/ALAS1/AP2B1/AP2M1/ARF6/ARID4B/COMT/CTDNEP1/DAB2/DDT/EMC6/ERP29/FOXP1/GOLGB1/GPNMB/GTF2B/HEXA/HEXB/KCTD20/KLF5/LDHB/LMO2/MAGOH/MED28/MFF/MPC2/MRPL54/NFKBIE/NFKBIZ/NORAD/NUDT14/OPTN/OSBPL8/PBX3/PFKP/PGD/PLIN2/POU2F2/RASSF5/RBPJ/REX1BD/ROMO1/SATB1/SCPEP1/SEC63/SERTAD2/SFPQ/SFT2D1/SNRPA1/TNPO1/TNS3/TPI1/TRMT112/YWHAE/ZYX,3/5/11/12/13/27
PRDM1_vs_IKBKG,0.196897618667082,"",""
TNFAIP3_vs_IKBKG,0.342129792304774,ANKRD11/CFLAR/COL6A1/ENG/GPATCH2L/HDAC9/HMGN3/KCNQ4/MYH9/POLR1D/RBBP6/RCN1/RFLNB/SELENOF/SMCO4/SPATS2L/TM2D2/WASF2,1/14
JUNB_vs_IKBKG,2.93926398869876e-06,GMFG/NDFIP1/PSD3,18
TIRAP_vs_IKBKG,4.0808211454148e-06,DAXX/MTRNR2L12,7
TRIB1_vs_IKBKG,0.00609974088028707,"",""
PICALM_vs_IKBKG,0.682281356652306,AKIRIN1/BAZ1A/CPM/STK10/TGFB1,20
EHMT2_vs_IKBKG,0.0140161066394367,AP1B1/HGSNAT/PLEKHB2/PSMD1/TMEM165,2
STAT1_vs_IKBKG,0.66534795364724,"",""
RELA_vs_IKBKG,0.000129234536095745,ALAS1/ARID4B/CCPG1/DRAP1/GOLGB1/GTF2B/HIVEP3/ITGAV/KLF5/KLF6/LMO2/MAML2/MED28/NFKBIZ/NORAD/PBX3/POU2F2/PPARD/RBPJ/RUNX1/RUNX3/SATB1/SEC63/SERTAD2/SFPQ/SFT2D1/STAT3/SYF2/TNS3/TPRA1/TXNIP/ZYX,3/5/13
TLR1_vs_IKBKG,1.80756029061555e-06,ALAS1/ARID4B/CCPG1/GTF2B/HDGF/KLF5/KLF6/MAML2/MED28/NDFIP1/NFKBIZ/PBX3/RBPJ/SATB1/SERTAD2/SFPQ/STAT3,3/18
CEBPG_vs_IKBKG,0.48491291298249,"",""
IRAK1_vs_IKBKG,2.57219402509011e-07,ACOX1/AREG/ARID4B/ATF5/ATRX/CD70/CKLF/CLEC11A/CNN2/DAXX/ERP29/GDF15/GMFG/HEXA/HEXB/IL1A/KCTD20/LACTB/LDHB/LRP12/MACF1/MANF/MBNL1/MED28/MRC2/NDFIP1/NORAD/NUDT14/OSBPL8/OSGIN2/PFKP/PGD/PKM/PLIN2/SCPEP1/SKIL/SMS/STARD4/TNS3/TPI1/TPRA1/XRN2/ZC3H12A/ZYX,3/7/10/11/13/15/18
MAP2K2_vs_IKBKG,5.03144702399906e-06,ANKRD11/CD70/CKLF/CLEC11A/GDF15/HDAC9/IL1A/LACTB/MANF/MYH9/OSGIN2/SELENOF/WASF2,14/15
DNTTIP1_vs_IKBKG,0.180719053312555,BRIX1/CACYBP/DHFR/NOL7/PCLAF/TMX2/TYMS,33/36
HSP90B1_vs_IKBKG,5.11778831298111e-05,ABHD17A/ACOX1/AKR1A1/AP2B1/ARF6/BSG/CAMK1/CD36/CEP350/COMT/CSNK1D/DAB2/DECR1/ERP29/GOLGB1/GPX4/HEXA/HEXB/IST1/KCNQ4/KCTD20/LDHB/MFF/MPC2/MYH9/NFKBIE/NME4/NORAD/NUDT14/OPTN/OSBPL8/PFKP/PGD/PKM/PLIN2/PLK3/PRDX4/RAB31/RFTN1/ROMO1/SCPEP1/SEC62/SEC63/SELENOF/SFT2D1/SLC16A3/SLC5A3/SLU7/SMS/STARD4/TNPO1/TNS3/TPI1/TPRA1/TXN/WASF2/YWHAE/ZC3H12A/ZYX,5/11/13/14
IRAK4_vs_IKBKG,3.77439729444219e-07,ALAS1/ARHGAP10/ARID4B/CCPG1/CD70/CKLF/CLEC11A/CNN2/DRAP1/FOXP1/IL1A/ITGAV/KLF5/KLF6/LMO2/MAML2/MANF/MRC2/NDFIP1/NFKBIZ/NORAD/OSGIN2/PBX3/PCBP1/RBPJ/RUNX3/SATB1/SFPQ/STAT3/TNS3/TPRA1/UXT/ZYX,3/13/15/18
TRAF6_vs_IKBKG,6.2618425399861e-07,ABHD17A/ALAS1/AP2B1/ARF6/ARID4B/BSG/CAMK1/CEP350/CSNK1D/DAB2/GOLGB1/HM13/IST1/ITGAV/KCNQ4/KPNA4/LMO2/MARK3/MED28/MFF/MPC2/MYH9/NFKBIE/NFKBIZ/NORAD/OPTN/PBX3/PIM3/PLK3/POU2F2/PTP4A3/RAB31/RBPJ/RFTN1/ROMO1/RUNX1/SEC62/SEC63/SELENOF/SERTAD2/SFPQ/SFT2D1/SH3GLB1/SLU7/SRP19/STAT3/TNPO1/TNS3/TPRA1/WASF2/YWHAE/ZYX,3/5/13/14
IKBKB_vs_IKBKG,1.25788972764844e-06,ABHD17A/ALAS1/AP2B1/AP2M1/ARF6/ARGLU1/ARID4B/AZIN1/BSG/CAMK1/CCPG1/CEP350/CSNK1D/CTDNEP1/DAB2/DDT/DRAP1/ELL2/EMC6/FOSL2/FOXP1/GOLGB1/GTF2B/HDGF/IST1/KLF5/KLF6/LMO2/MAFG/MAGOH/MAML2/MARK3/MED28/MEIS2/MFF/MPC2/MRPL13/MRPL47/MTCH2/NFKBIE/NFKBIZ/NSRP1/OPTN/PBX3/PCBP1/PIM3/POU2F2/PPARD/PSMB7/PTP4A3/RAB31/RBPJ/REX1BD/RFTN1/ROMO1/RUNX1/SATB1/SEC62/SEC63/SERTAD2/SFPQ/SFT2D1/SH3GLB1/SLC5A3/SLU7/SRP19/STAT3/SYF2/TMEM167A/TNPO1/TRAM1/TRMT112/TXNIP/UBE2M/YWHAE,3/5/19/27
RNF31_vs_IKBKG,0.000279921189632441,ANKRD11/ARL6IP5/ATP6V1D/CFLAR/ENG/KCNQ4/LENG8/MED8/MRFAP1/MRPS36/MYH9/NDFIP1/PRDX4/PSMD13/PTBP1/RCN1/SELENOF/WASF2/ZFAND5,14/18/35
MEF2C_vs_IKBKG,7.74943854156244e-05,ALAS1/AP1B1/ATF5/CD70/CKLF/CLEC11A/GDF15/HGSNAT/IL1A/LACTB/LMO2/LRP12/M6PR/MANF/OSGIN2/PSMD1/SLC3A2/TMEM165/TRIP10/VOPP1,2/3/9/10/15
SBDS_vs_IKBKG,0.448705183136801,"",""
CSNK1A1_vs_IKBKG,2.00274277096654e-06,ALAS1/ARID4B/ATF4/CNN2/FMNL3/FOXP1/HGSNAT/ITGAV/KLF5/KLF6/LMO2/LRP12/MAFG/MEIS2/MRC2/NFKBIZ/NORAD/PBX3/POU2F2/RBPJ/RUNX1/RUNX3/SATB1/SERTAD2/SFPQ/STAT3/TNS3/TPRA1/TXNIP/ZYX,2/3/10/13
ARPC4_vs_IKBKG,0.428828111006371,"",""
PPP2R1A_vs_IKBKG,0.335247223463987,"",""
MIDN_vs_IKBKG,0.387833430260544,AREG/CD70/CKLF/CLEC11A/EMC6/GDF15/IL1A/OSGIN2,15/27
XPR1_vs_IKBKG,1.48795314800808e-05,ANKRD11/AP2M1/CDC42EP3/CRTAP/CTDNEP1/EMC6/HDAC9/KCNQ4/MRPL54/MYH9/REX1BD/SELENOF/TRMT112/WASF2,9/14/27
TYK2_vs_IKBKG,0.356160409775048,ADGRE5/AP1B1/ATP13A3/HGSNAT/NAPRT/PHACTR4/PSMD1/SLC3A2/TMEM165/TMEM30A/USP18/VOPP1,2/31
CYLD_vs_IKBKG,0.0109644915037435,ARHGAP10/GMFG/NDFIP1/PSD3,18
ADO_vs_IKBKG,0.103798282505752,GADD45GIP1/PSMB5/SRM,34
PGM3_vs_IKBKG,0.627539767880492,AIMP1/BRIX1/CACYBP/TMX2,""
