comparison,p_value,active_features,active_group
MAP2K1_vs_TYK2,0.428582109615633,SRPRA/TRAPPC4/UBE2N,41
YEATS4_vs_TYK2,0.209016177904842,"",""
ATXN7L3_vs_TYK2,1.03485661375827e-11,AP1B1/ARL8B/ASS1/ATG12/ATP6V1E1/BST2/C5AR1/CCPG1/CD14/CD164/CD47/CD58/CDC37/CELF1/CFD/CNPY3/CPQ/DDX60L/DPP7/DYNC1H1/FXR1/GBP3/GNAI3/GOLIM4/HGSNAT/HMGB3/IER5/IFI6/IFITM3/IRAK2/LAMP1/LGALS9/LITAF/MAP3K8/MFSD1/MFSD10/MRPL15/NMI/OTULIN/PAIP1/PJA2/PLCG2/PLD4/PLEKHB2/PSMA1/PTPN1/PTPRC/PUM1/RAB10/RAC2/RNASET2/RTN4/SLC2A6/SLC3A2/STIP1/STMP1/SUCLG1/TENT5A/TMEM165/ZC3HAV1/ZMPSTE24,2/3/6/12/24
AHR_vs_TYK2,7.16483164956124e-05,ARID1B/CCPG1/CD276/EBI3/EDF1/GTF2B/HIVEP3/ICOSLG/IER5/IRF1/IRF2BP2/JAK1/KLF5/LIPA/MED13L/MED28/NCOA7/NECTIN2/PAIP1/PTBP3/RAP2C/RBM23/RELB/RIF1/SATB1/SWAP70/TNFRSF9/ZBTB43,3/12
PRDM1_vs_TYK2,0.379073751064364,"",""
TNFAIP3_vs_TYK2,1.55612271850059e-16,ANKRD11/ASS1/ATG12/C5AR1/C5AR2/CALR/CD14/CD47/CD58/CDC37/CELF1/CFD/CLIC4/CNPY3/COPB1/CRTAP/CSNK1A1/DDX60L/EBI3/EMC10/ENG/FXR1/GBP3/HMGB3/ICOSLG/IFI6/IFITM3/IRAK2/IRF1/IRF2BP2/KCNQ4/KRT10/LGALS9/LITAF/MRPL15/NMI/NPC2/OTULIN/PAIP1/PDLIM5/PJA2/PLCG2/PRDX4/PSMA1/PTPN1/PTPRC/PUM1/RAB1A/RAC2/RBBP6/RNASET2/SELENOW/SMARCA5/STIP1/STMP1/TENT5A/TNFRSF9/TNIP1/WASF2/ZC3HAV1/ZMPSTE24,6/8/12/14
JUNB_vs_TYK2,0.283802118523484,"",""
TIRAP_vs_TYK2,0.18170970754105,CCPG1/CIB1/DBNL/FAM50A/GPI/HADHA/MFSD12/NDUFA2/RAB5IF/TMEM208/YIF1A,3/16/38
TRIB1_vs_TYK2,4.55041104211063e-08,ASS1/ATG12/C5AR1/CALR/CD47/CD58/CDC37/CELF1/CFD/CRTAP/CSNK1A1/DDX60L/EIF3F/ENG/FXR1/FYB1/GBP3/IFI6/IFITM3/IRAK2/LACTB/LGALS9/LITAF/METRNL/MRPL15/NMI/OTULIN/PJA2/PLCG2/PSMA1/PTPN1/PUM1/RAC2/RBBP6/SELENOW/SMARCA5/STMP1/TNIP1,6/14/15/20
PICALM_vs_TYK2,0.0308319636017774,ADAM10/AKIRIN1/BAZ1A/CPM/EIF3F/PTP4A1/SPN/TGFB1,20
EHMT2_vs_TYK2,0.000187440476750175,ANXA11/AP1B1/ARL8B/ATP5MC1/ATP6AP1/ATP6AP2/ATP6V0B/ATP6V0E1/ATP6V1E1/ATP6V1H/BST2/CD164/CD276/CD55/CPQ/CYSTM1/DPP7/DYNC1H1/FKBP3/GNAI3/GNS/HGSNAT/IRF2BP2/MFSD1/MFSD10/NDUFB6/NDUFV3/NECTIN2/PAIP1/PLEKHB2/PSMD1/PTP4A2/RAB10/RAB13/RAB5C/SLC2A6/SLC3A2/SNX2/SNX3/SNX6/TAPBP/TCIRG1/TMEM165/TMEM256/USF2/VAPA/VOPP1/VPS26A,2/12/36/39
STAT1_vs_TYK2,1.21489853660052e-22,ADAR/APOL6/DTX3L/EIF2AK2/EPSTI1/FBXO32/HELZ2/IFI35/IFI44/IFIT2/IFIT3/ISG20/LY6E/OAS1/PARP14/PARP9/PLSCR1/PML/PNPT1/RAPGEF1/RBCK1/SAMHD1/SNW1/SP110/STAT1/TAF7/TRIM25/TRIM38/UBE2L6/USP18/XAF1/ZNFX1,22/31
RELA_vs_TYK2,0.244761827440373,ABL2/ARID1B/CCPG1/CD276/EBI3/EIF4G3/GTF2B/HDGF/ICOSLG/IER5/IRF1/IRF2BP2/ITGB5/ITGB7/KLF5/LAP3/LIPA/MED28/NCOA7/NECTIN2/PAIP1/PBX3/PDLIM7/RAP2C/SATB1/YWHAG,3/12/13
TLR1_vs_TYK2,0.0161979287091977,TIPRL,18
CEBPG_vs_TYK2,0.694359129214149,"",""
IRAK1_vs_TYK2,0.740681951192485,ENG/LAP3,13/14
MAP2K2_vs_TYK2,0.00115261902254198,CCNI/CLIC4/CRTAP/ENG/GDF15/HOOK3/KCNQ4/KRT10/LACTB/METRNL/PRDX4/QKI/RBBP6/RCN1/TYMP/UGCG/WASF2,10/14/15
DNTTIP1_vs_TYK2,0.930587161585447,CLIC4/CRTAP/ENG/KRT10/PRDX4/RBBP6/SRPRA/TRAPPC4/UBE2N,14/41
HSP90B1_vs_TYK2,1.44633953886526e-14,ABL2/AIF1/ANKRD11/ARF1/ARF6/ASS1/ATG12/C5AR1/CANX/CD47/CD58/CDC37/CELF1/CFD/CHTOP/CLIC4/CRTAP/CSNK1A1/DDX60L/DNAJC15/EMC10/ENG/GBP3/GOLGB1/HMGB3/IFI6/IFITM3/ITGB7/KCNN4/KCNQ4/KPNA4/KRT10/LAP3/LGALS9/MESD/MFF/MRPL15/MYH9/NMI/NORAD/OTULIN/PDIA4/PDLIM5/PDLIM7/PJA2/PLCG2/PRDX4/PSMA1/PTPN1/PUM1/QKI/RAB8B/RAC2/RBBP6/RCN1/RTN4/SELENOT/SMARCA5/STMP1/TENT5A/TRAM1/WASF2/YWHAG/ZC3HAV1,5/6/13/14
IRAK4_vs_TYK2,0.000244636317193951,ABL2/AIF1/ANKRD11/ARID1B/CCNI/CCPG1/CD70/CLIC4/CNN2/CRTAP/EBI3/EMC10/ENG/GDF15/GTF2B/HIVEP3/ICOSLG/IER5/IRF2BP2/ITGB5/ITGB7/KCNQ4/KLF5/KRT10/LACTB/LAP3/LIPA/MED13L/MED28/METRNL/MRC2/MYH9/NCOA7/NECTIN2/NORAD/OSGIN2/PAIP1/PDLIM5/PDLIM7/PPARD/PRDX4/PTBP3/RAP2C/RBBP6/RCN1/RUNX3/SATB1/TYMP/WASF2/YWHAG/ZBTB43,3/12/13/14/15
TRAF6_vs_TYK2,3.44815415497941e-13,ANKRD11/ARHGEF2/CLIC4/CRTAP/DCTN6/DYNC1I2/EMC10/ENG/KCNQ4/KRT10/LAP3/MRPL37/MRPL41/NDUFV1/PRDX4/PSMC3/QKI/RBBP6,13/14/24
IKBKB_vs_TYK2,0.124657788336718,ARGLU1/ATF4/BUB3/CCPG1/CENPF/CLIC4/CREBRF/DRAP1/GTF2B/HIVEP3/HMGB2/IER5/KLF5/LIPA/MED28/MFSD12/NCOA7/PAIP1/PTBP3/RAP2C/RBBP6/RNF5/SATB1/SMC1A/TMEM208/TOP2A/ZBTB43,3/12/14/32/38
RNF31_vs_TYK2,2.57900143446159e-05,ANKRD11/CLIC4/COL6A1/CRTAP/EMC10/ENG/KCNQ4/KRT10/PRDX4/RBBP6/WASF2,14
MEF2C_vs_TYK2,7.65102199028708e-18,ANXA11/AP1B1/ARL8B/ATG12/ATP13A3/ATP6AP2/ATP6V1E1/BST2/C5AR1/CALR/CCPG1/CD164/CD47/CD55/CD58/CDC37/COPB1/COPB2/CPQ/DDX60L/DNAJB14/DPP7/DYNC1H1/GBP3/GNAI3/GNS/GOLIM4/GTF2B/HDGF/HGSNAT/HIVEP3/IER5/IFI6/IFITM3/IFNAR1/IRAK2/KLF5/LACTB/LGALS9/LITAF/M6PR/MAP3K8/MED28/METRNL/MFSD1/MFSD10/MLEC/MRPL15/NCOA7/NMI/OTULIN/PECAM1/PJA2/PLCG2/PLD4/PLEKHB2/PSMA1/PSMD1/PTBP3/PTP4A2/PTPN1/PUM1/RAB10/RAB5C/RAC2/SATB1/SCARB2/SELENOW/SLC2A6/SLC3A2/SNX3/ST13/STMP1/TAPBP/TENT5A/TMEM165/TMEM30A/TYMP/UBE2J1/VAPA/VPS26A/ZC3HAV1,2/3/6/8/15
SBDS_vs_TYK2,0.512074658301713,"",""
CSNK1A1_vs_TYK2,4.99914900105473e-13,ANXA11/AP1B1/ATP6V1E1/BCAS2/BST2/C5AR1/CD47/CDC37/CNPY3/DDX60L/DPP7/DYNC1H1/GBP3/GNAI3/HGSNAT/HMGB3/IFI6/IFITM3/IRAK2/LGALS9/LITAF/MFSD1/MFSD10/MRPL15/NEU1/NMI/NPC2/OTULIN/PJA2/PLCG2/PSMD1/PTPN1/PTPRC/PUM1/RAB10/RAB5C/RAC2/SLC2A6/SRPRA/STMP1/TMEM165/TRAPPC4/UBE2N/ZC3HAV1,2/6/41
ARPC4_vs_TYK2,0.215851843633216,"",""
PPP2R1A_vs_TYK2,0.180829765178712,ANKRD11/CLIC4/CRTAP/ENG/KCNQ4/KRT10/MYH9/PRDX4/RBBP6,14
MIDN_vs_TYK2,0.507220997359814,ICOSLG/IRF1/IRF2BP2/NECTIN2/PAIP1/PNP/TNFRSF9,12
XPR1_vs_TYK2,2.79587220277512e-06,ANKRD11/ARHGEF2/ATP5MC1/CCNL1/CLIC4/CRTAP/DCTN6/DYNC1I2/DYNLRB1/EMC10/ENG/GTF3A/HDAC9/HIGD2A/ITPRIPL2/KCNQ4/KRT10/MED13/MIF/MRPL37/MRPL41/NDUFA12/NDUFB6/NDUFV1/PDLIM5/PRDX4/PSMC3/QKI/RBBP6/RFLNB/SERINC1/SERINC3/SUCLG1/TMEM256/UFD1/USF2/WASF2,14/24/39
CYLD_vs_TYK2,0.280811701371312,ADGRE5/AP1B1/ARL8B/ATP6AP2/ATP6V0B/ATP6V0E1/ATP6V1E1/BST2/CCT8/CPQ/DPP7/DYNC1H1/GNAI3/HGSNAT/LAMP1/MFSD1/MFSD10/PECAM1/PSMD1/RAB10/RAB5C/SLC2A6/SLC3A2/SNX2/SNX3/TAPBP/TMEM165/VAPA,2
ADO_vs_TYK2,0.26265163251835,"",""
PGM3_vs_TYK2,0.562792655410388,"",""
MAPK1_vs_TYK2,4.26867247111502e-27,ADAR/APOL6/DTX3L/EIF2AK2/EPSTI1/FBXO32/HELZ2/IFI35/IFI44/IFIT2/IFIT3/LY6E/OAS1/PARP14/PARP9/PHACTR4/PLSCR1/PML/PNPT1/RAPGEF1/RBCK1/SAMD9L/SAMHD1/SP110/STAT1/TAP1/TRIM25/TRIM38/UBE2L6/USP18/XAF1,22/31
TLR2_vs_TYK2,0.152869713399253,ABL2/ITGB7/LAP3/YWHAG,13
STK11_vs_TYK2,0.00140397498413736,"",""
SEPHS2_vs_TYK2,0.0421327842642696,"",""
STAT2_vs_TYK2,5.00522031210128e-22,ADAR/APOL6/CHMP5/DDX58/DTX3L/EIF2AK2/EPSTI1/FBXO32/HELZ2/IFI35/IFI44/IFIT2/IFIT3/LY6E/OAS1/OASL/PARP9/PLSCR1/PML/PNPT1/RAPGEF1/STAT1/TRIM25/TRIM38/USP18/XAF1/ZNFX1,22/31
MAP3K7_vs_TYK2,2.11238830199397e-11,BUB3/C5AR1/CBX5/CD47/CDC37/CENPF/CKS1B/DDX60L/HMGB2/IFI6/LGALS9/LPGAT1/NMI/NONO/NUP62/PLCG2/PTPN1/PUM1/RAC2/RNF5/SMC1A/STMP1/TENT5A/TOP2A/TPR/TUBA1C,6/32
RAB5C_vs_TYK2,1.9345480600009e-09,ANXA11/AP1B1/ARL8B/ATP6AP2/ATP6V1E1/BST2/CD55/CHMP3/CPQ/DPP7/DYNC1H1/GNAI3/GOLIM4/HGSNAT/MFSD1/MFSD10/NAPRT/PLEKHB2/PSMD1/PTP4A2/RAB10/RAB5C/SLC2A6/SLC3A2/SNX3/SNX6/TMBIM4/TMEM165/VAPA/VPS26A,2/7
ALG2_vs_TYK2,0.689540278054397,"",""
MYD88_vs_CYLD,0.810655095443192,CRTAP/GDF15,14/15
IKBKG_vs_CYLD,0.298548885894153,CCNI/GDF15,15
TAB1_vs_CYLD,0.472854710940576,"",""
IFNAR1_vs_CYLD,0.863037975234839,"",""
TXNDC17_vs_CYLD,0.225198073428614,"",""
FLI1_vs_CYLD,0.359281655762694,"",""
MAPK14_vs_CYLD,0.414511892066641,"",""
KIDINS220_vs_CYLD,0.0396140692936139,ARL8B/ASAH1/ATP6V1H/BOLA3/C8orf59/CALM3/CCDC167/CD36/CD55/CD68/CD82/COPZ1/ECHS1/GABARAPL2/HEXB/HIGD2A/KCTD20/MED13/MSRA/NAPRT/NDUFA1/NDUFA10/NDUFB1/NME4/NRDC/NUDT14/OSBPL8/PFKP/PGD/PRDX3/PSMC3/RNF7/RPL26L1/SERINC1/SF3B5/SLC25A5/SURF4/TCIRG1/UBE2Z/UQCRC2,""
MAP2K1_vs_CYLD,0.000754217548556248,ARHGAP26/DENND4A/EIF5/GDI2/GMFG/GRB2/MOB1A/NUCB1/PSD3/TIPRL,18
YEATS4_vs_CYLD,0.574128418662941,"",""
ATXN7L3_vs_CYLD,0.573416540800215,ARPC1B/ARPC3/ATF6B/ATP5ME/ATP5MF/BOLA3/CALM3/CCDC167/CORO1B/CYFIP1/DCTN6/DENND4A/ECHS1/ETFB/FAM107B/GABARAPL2/GMFG/HIGD2A/MOB1A/MRPL37/MTSS1/NDUFA1/NDUFA10/NDUFB1/NDUFB3/NDUFB5/NRDC/NUCB1/PRDX3/PSD3/PSMC3/RHOG/RNF11/RPL26L1/SAP18/SERINC1/SERINC3/SF3B5/SLC25A5/SOCS3/SPPL2A/SPTBN1/STAG2/SURF4/TIPRL/UBE2L3/UQCRC1/UQCRC2,9/18/24
AHR_vs_CYLD,0.657220670875839,CD36/CMPK1/MSRA/NUDT14/OSBPL8/PLIN2/TPI1,11
PRDM1_vs_CYLD,0.839229580358838,"",""
TNFAIP3_vs_CYLD,0.745150789941404,"",""
JUNB_vs_CYLD,0.0168854184033248,ARHGAP26/CYTH2/DENND4A/EIF5/GDI2/GMFG/GRB2/MOB1A/NUCB1/PSD3/TIPRL,18
TIRAP_vs_CYLD,0.160109908629877,DBNL/GPI,16
TRIB1_vs_CYLD,0.559805939515286,CD36/CDK13/FAM89B/HEXB/LDHB/LRP10/LRPAP1/MSRA/NCK2/NME4/NUDT14/OSBPL8/PAFAH1B1/PFKP/PGD/PLIN2/PTPRJ/RGS10/RNF19A/TPI1/UXS1,4/11
PICALM_vs_CYLD,0.121137562563397,ADAM10/CPM/LYRM4/PTP4A1/TMEM123,20
EHMT2_vs_CYLD,0.557033105382816,ANXA11/ARL8B/ASAH1/ATP5MC2/ATP5MG/ATP6V0E1/ATP6V1B2/ATP6V1E1/ATP6V1H/CCT8/CD55/CD68/CD82/CPQ/CTSA/DYNLL1/FKBP3/GLIPR1/GNAI3/GOLIM4/GSTP1/GTF3A/NAPRT/NCSTN/NEU1/PECAM1/PSAP/PTP4A2/RAB7A/SLC25A39/SLC3A2/SNX6/TAPBP/TCIRG1/TECR/TMEM14B/TMEM165/TMEM256,2/39
STAT1_vs_CYLD,0.408498586093877,"",""
RELA_vs_CYLD,0.620402294428861,"",""
TLR1_vs_CYLD,0.175212165578459,ARHGAP26/DENND4A/EIF5/GMFG/NUCB1/PSD3/TIPRL,""
CEBPG_vs_CYLD,1,"",""
IRAK1_vs_CYLD,7.96176161214851e-06,AIF1/ARHGAP26/CCNI/CNN2/CYTH2/DENND3/DENND4A/GDF15/GDI2/GMFG/GRB2/MOB1A/NUCB1/PRKAR2A/PSD3/TIPRL/TPRA1,13/15/18
MAP2K2_vs_CYLD,0.111533560272385,CCNI/GDF15,15
DNTTIP1_vs_CYLD,0.0455551929076077,"",""
HSP90B1_vs_CYLD,0.61498423173307,ADAM10/ATP2A2/CD36/CD40/CMPK1/CNN2/CPM/CPNE8/GLS/MSRA/NME4/NUDT14/OSBPL8/PFKP/PLIN2/PTP4A1,11/13/17/20
IRAK4_vs_CYLD,0.302101382192972,DENND4A/GDF15/NUCB1/OSGIN2/TIPRL,15/18
TRAF6_vs_CYLD,0.0700433955697352,AIF1/ARHGEF2/ATP2A2/ATP5ME/ATP5MF/ATP5PO/ATP6V1B2/ATP6V1H/BOLA3/CALM3/CD68/CHCHD10/CNN2/DCTN6/ECHS1/ETFB/FAM107B/GABARAPL2/HIGD2A/MED13/MRPL14/NAPRT/NDUFA1/NDUFA10/NDUFB1/NDUFB4/NDUFB5/PRDX3/PSMB6/PSMC3/RNF7/RPL26L1/SAP18/SERINC3/SF3B5/SPPL2A/SURF4/TCIRG1/TMEM141/UBE2E1/UFD1/UQCRC2,2/13/17/24
IKBKB_vs_CYLD,0.811264841771271,CDK13/FAM89B/LRPAP1/NEK6/PTPRJ/RGS10/RNF19A,4
RNF31_vs_CYLD,0.50372788979323,"",""
MEF2C_vs_CYLD,0.0679578105548366,AFF4/ARL8B/ARPC1B/ARPC3/ASAH1/ATP2A2/ATP6V1H/CCNI/CCT8/CD40/CD68/CORO1B/CPNE8/CTSA/CYFIP1/DBNL/FAM89B/GDF15/GLIPR1/GLS/GOLIM4/GPI/HGSNAT/MTSS1/NAPRT/NCSTN/OGA/PTPRJ/QSOX1/RGS10/RNF19A/SLC25A39/SLC3A2/STAG2/TMEM14B/TMEM256,2/4/9/15/16/17/39
SBDS_vs_CYLD,0.383770080509719,"",""
CSNK1A1_vs_CYLD,0.00577623100469172,ATP2A2/TPRA1,13/17
ARPC4_vs_CYLD,0.00117723248325251,"",""
PPP2R1A_vs_CYLD,0.338651521096936,"",""
MIDN_vs_CYLD,0.351407633852715,"",""
XPR1_vs_CYLD,0.000403343170982098,ARHGAP26/ARL8B/ARPC1B/ASAH1/ATP5ME/ATP5MF/ATP5PO/ATP6AP2/ATP6V0E1/ATP6V1H/AURKAIP1/BOLA3/CALM3/CCDC167/CCNL1/CCT8/CD55/CD68/CD82/CDK13/CHMP4A/COPRS/COPZ1/CORO1B/CTSA/DCTN6/DENND4A/DYNLL1/ECHS1/ETFB/FAM89B/FUOM/GABARAPL2/GAMT/GDI2/GLIPR1/GMFG/GNAI3/GOLIM4/GTF3A/HGSNAT/HIGD2A/LRPAP1/M6PR/MED13/MIF/MRPL14/MTSS1/NAPRT/NCSTN/NDUFA1/NDUFA10/NDUFA12/NDUFB1/NDUFB3/NDUFB4/NDUFB5/NDUFB9/NEK6/NEU1/NRDC/NUCB1/PAFAH1B1/PECAM1/PRDX3/PSAP/PSD3/PSMC3/PTPRJ/RGS10/RNF11/RNF19A/RNF7/RPL26L1/SAP18/SERINC1/SERINC3/SF3B5/SH3KBP1/SLC25A39/SLC25A5/SLC3A2/SNX2/SNX6/SOCS3/SPPL2A/SPTBN1/SUCLG1/SURF4/TCIRG1/TECR/TIPRL/TMEM141/TMEM14B/TMEM165/TMEM256/TPP1/UBE2E1/UBE2L3/UBE2Z/UBXN1/UFD1/UQCRC1/UQCRC2,2/4/9/18/24/39
TYK2_vs_CYLD,0.332009628011927,ARL8B/ASAH1/ATP6V1H/CCT8/CD55/CD68/CD82/CTSA/GLIPR1/MFSD1/NAPRT/NCSTN/PECAM1/PSAP/SH3KBP1/SLC3A2/SNX6/TCIRG1/VPS26A,""
ADO_vs_CYLD,0.809541427888894,"",""
PGM3_vs_CYLD,0.759800877314619,"",""
MAPK1_vs_CYLD,0.272043337438988,ARHGAP10/ARHGAP26/CDK13/CYTH2/DENND4A/EIF5/FAM89B/GDI2/GMFG/GRB2/LRPAP1/MOB1A/MSRA/NAA20/NME4/NUCB1/NUDT14/OSBPL8/PSD3/PTPRJ/RGS10/RNF19A/TAOK3/TIPRL/TPI1,4/11/18
TLR2_vs_CYLD,0.921692709170283,ADAM10/CPM/GPSM3/PTP4A1/TGFB1/TMEM123,20
STK11_vs_CYLD,0.46986741336032,"",""
SEPHS2_vs_CYLD,0.592059463721793,"",""
STAT2_vs_CYLD,0.582644735472082,"",""
MAP3K7_vs_CYLD,0.125602979435148,"",""
RAB5C_vs_CYLD,0.0171969609350467,ANXA11/ARL8B/ASAH1/ATP6AP2/ATP6V0E1/ATP6V1B2/ATP6V1F/ATP6V1H/CCT8/CD55/CD68/CD82/CHMP3/CTSA/DPP7/DYNC1H1/DYNLL1/GLIPR1/GNAI3/GOLIM4/HGSNAT/MORF4L2/NAPRT/NCSTN/NEU1/PECAM1/PSAP/PSMD1/PTP4A2/SH3KBP1/SLC3A2/SNX2/SNX6/TCIRG1/TMEM30A/ZFAND6,2/7
ALG2_vs_CYLD,0.186872176501428,"",""
MYD88_vs_ADO,0.669727945688615,"",""
IKBKG_vs_ADO,0.510114296083893,"",""
TAB1_vs_ADO,0.584360679258321,"",""
IFNAR1_vs_ADO,0.159026115332623,"",""
TXNDC17_vs_ADO,0.818841542778492,"",""
FLI1_vs_ADO,0.816961723662622,"",""
MAPK14_vs_ADO,0.000784394138432011,"",""
KIDINS220_vs_ADO,0.717251580993434,"",""
MAP2K1_vs_ADO,0.76786822685075,"",""
YEATS4_vs_ADO,0.0774099818390715,"",""
ATXN7L3_vs_ADO,0.045023003434881,EIF4G3,12
AHR_vs_ADO,0.11875270503651,"",""
PRDM1_vs_ADO,0.211786215413565,"",""
TNFAIP3_vs_ADO,0.955219791567865,"",""
JUNB_vs_ADO,0.390662115828391,"",""
TIRAP_vs_ADO,0.536810398718454,ATP5MC1/CHCHD2/MZT2B/TMEM256/USF2,39
TRIB1_vs_ADO,0.0590535609942336,"",""
PICALM_vs_ADO,0.283724970615167,"",""
EHMT2_vs_ADO,0.862693885636184,ATP5MC1/CHCHD2/FKBP3/MZT2B/POLR2E/SLC25A39/TMEM256/USF2,39
STAT1_vs_ADO,0.0132020460009809,"",""
RELA_vs_ADO,0.0924886298290015,"",""
TLR1_vs_ADO,0.313104997525005,"",""
CEBPG_vs_ADO,0.877339550433393,"",""
IRAK1_vs_ADO,0.154841891753467,"",""
MAP2K2_vs_ADO,0.136135763364022,"",""
DNTTIP1_vs_ADO,0.245019154789871,"",""
HSP90B1_vs_ADO,0.885073048189697,"",""
IRAK4_vs_ADO,0.071587487832333,"",""
TRAF6_vs_ADO,0.0730011214773566,"",""
IKBKB_vs_ADO,0.080104241621197,"",""
RNF31_vs_ADO,0.997786384870337,"",""
MEF2C_vs_ADO,0.973373481179585,"",""
SBDS_vs_ADO,0.225700927838529,"",""
CSNK1A1_vs_ADO,0.972845012009756,"",""
ARPC4_vs_ADO,0.28773420684331,AP3B1/FERMT3/FLNA/JMJD1C/MYL9/VKORC1,21
PPP2R1A_vs_ADO,0.0027183392928744,C19orf53/C8orf33/FKBP1A/GADD45GIP1/NDUFAF8/NME1/PDCD5/PHB/PPP1R14B/PRMT1/SAR1B/SF3B6/SNU13/SSBP1/TIMM13/TKT,""
MIDN_vs_ADO,0.537686950652829,"",""
XPR1_vs_ADO,0.756334722348615,AP3B1/FLNA/MYL9,21
TYK2_vs_ADO,0.0884174763001016,"",""
CYLD_vs_ADO,0.913785937433736,"",""
PGM3_vs_ADO,0.0587869901262119,"",""
MAPK1_vs_ADO,0.0724330220020235,"",""
TLR2_vs_ADO,0.150084127656458,"",""
STK11_vs_ADO,0.845101261875119,"",""
SEPHS2_vs_ADO,0.622035970731175,"",""
STAT2_vs_ADO,0.101561292341423,"",""
MAP3K7_vs_ADO,0.162297542208601,"",""
RAB5C_vs_ADO,0.913884065391694,"",""
ALG2_vs_ADO,0.677791448567267,"",""
MYD88_vs_PGM3,0.0965083015681054,"",""
IKBKG_vs_PGM3,0.0436900873084176,FKBP5/GDF15/MANF/TOP2A,15/32
TAB1_vs_PGM3,0.991015228935256,PCLAF/TYMS,33
IFNAR1_vs_PGM3,0.175604846134395,ANXA1/ASS1/BUB3/CD47/CNPY3/CSNK1A1/DTX3L/FKBP5/HNRNPUL1/JPT1/PML/SELENOW/SMARCA5/STMP1/TOP2A,6/31/32
TXNDC17_vs_PGM3,0.980202386564468,"",""
FLI1_vs_PGM3,0.58836584075115,"",""
MAPK14_vs_PGM3,0.356809064639124,NDUFV3/TOP2A,32/36
KIDINS220_vs_PGM3,0.00414864489502128,PCLAF/TYMS,33
MAP2K1_vs_PGM3,0.65192759308722,BCAS2,41
YEATS4_vs_PGM3,0.983336808505056,"",""
ATXN7L3_vs_PGM3,0.00604179967630978,ABRACL/CAPZA1/CORO1B/LASP1/NUCB1,9/18
AHR_vs_PGM3,0.0245590572942768,ARGLU1/CCPG1/CREBRF/ERP29/ETV3/GPBP1/GPNMB/IER5/PPARD/SEC61A1/SLC16A3/SSR3/STAT3/TOP2A/ZBTB10,3/8/11/12/32
PRDM1_vs_PGM3,0.964539570868474,"",""
TNFAIP3_vs_PGM3,0.036622260950259,AES/C4orf48/CPD/ELOA/FAM129A/FAM133B/PSMC1/RSRP1/SELENOW/SNRPN/SPATS2L/STMP1/TEX9/TIMMDC1/UBE2F/ZFAND3/ZFR,1/6
JUNB_vs_PGM3,0.454231224862091,"",""
TIRAP_vs_PGM3,0.721412288420518,"",""
TRIB1_vs_PGM3,0.315287648427068,"",""
PICALM_vs_PGM3,0.719319485005397,"",""
EHMT2_vs_PGM3,0.0160319019958531,ANPEP/ATP6V1H/CD82/COX7A2/FKBP3/GTF3A/NAPRT/NDUFB6/POLR2E/PTP4A2/RAB10/SLC3A2/SMDT1/SNX2/TCIRG1/TECR/TMEM165/USF2,2/39
STAT1_vs_PGM3,0.0269265183877648,DTX3L/EIF2AK2/IFI44/IFIH1/PARP9/PML/RBCK1,31
RELA_vs_PGM3,0.0450965870558813,ARGLU1/CCPG1/CREBRF/ETV3/GPBP1/GPNMB/IER5/IRF8/JAK1/PBX3/RBPJ/SERTAD2/ZBTB10,3/12
TLR1_vs_PGM3,0.069098322844435,CCPG1/SERTAD2,3
CEBPG_vs_PGM3,0.9682958674646,"",""
IRAK1_vs_PGM3,0.0566086466158802,AFF4/CKLF/GDF15/MANF/NUCB1,15/18
MAP2K2_vs_PGM3,0.669099454413272,MANF,15
DNTTIP1_vs_PGM3,0.339299164327936,"",""
HSP90B1_vs_PGM3,0.00125044474319661,ABHD17A/ABL2/AIF1/ASS1/BSG/CEP350/DERL1/ERP29/GOLGB1/IFNAR1/MARK3/MFF/MPC2/NFKBIE/OTULIN/PDIA4/PDLIM7/PGD/PPP1CB/PTPN12/RAB31/SEC62/SEC63/SELENOW/SH3GLB1/STMP1/TRAM1/UBE2D3/UHMK1/ZYX,5/6/11/13
IRAK4_vs_PGM3,0.0216086322578509,AFF4/CCPG1/CD70/CKLF/GDF15/MANF/NUCB1/PDLIM5/PDLIM7/PTPN12/SERTAD2/ZYX,3/13/14/15/18
TRAF6_vs_PGM3,0.0746462571074447,ADAM17/AIF1/CCPG1/CRTAP/GOLGB1/ITGB5/KCNQ4/MARK3/MFF/MPC2/PDIA4/PDLIM5/PDLIM7/PPP1CB/PRDX4/PRKAR2A/PTPN12/SERTAD2/SH3GLB1/UBE2D3/UHMK1/ZFAND5/ZYX,3/5/13/14
IKBKB_vs_PGM3,0.00230170728383435,AP3D1/ARGLU1/ARID4B/ARPC5L/AUP1/BSG/CCPG1/CD151/CREBRF/CRTAP/DERL1/DUSP23/ETV3/GOLGB1/GPBP1/HAX1/IDH3G/MARK3/MED28/MEIS2/MFF/MPC2/MRPL18/NFKBIE/NUDC/PBX3/PCM1/PDIA4/PDLIM5/PFDN2/PPP1R7/RAB31/RBPJ/RUNX1/SEC62/SEC63/SERTAD2/SEZ6L2/SUMO3/TMEM208/TRAM1/UBE2D3/UQCRFS1/UXT/ZBTB10/ZFAND5,3/5/14/27/38
RNF31_vs_PGM3,0.365233347907715,CRTAP/KCNQ4/PDLIM5/PRDX4/RFLNB/SRPRA/TRAPPC4/ZFAND5,14/41
